Sensor Name,Sensor Type,Timestamp,Temperature,Humidity,Dew Point,Heat Index,Feels Like,Wind Chill,Barometric Pressure,Accumulated Rain,Wind Speed,Wind Average,Wind Direction,Wired Sensor Temperature,Wired Sensor Humidity,Soil & Liquid Temperature,Water Detected
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 0:00,48,68,38,46,45.4,48,30.39,0,0,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 0:05,47.7,66,37,45,44.9,48,30.39,0,0,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 0:10,48,70,39,46,45.5,48,30.39,0,0,0,158,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 0:15,47.6,70,38,45,45.1,48,30.4,0,0,0,180,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 0:20,47.5,69,38,45,44.9,48,30.4,0,0,0,180,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 0:25,47.1,70,38,45,44.5,47,30.4,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 0:30,46.9,70,38,45,44.2,47,30.4,0,0,0,135,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 0:35,46.7,70,37,44,44,47,30.4,0,0,0,135,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 0:40,46.5,74,39,44,44,47,30.41,0,0,0,180,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 0:45,46.1,74,38,44,43.6,46,30.4,0,0,0,180,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 0:50,45.9,71,37,44,43.1,46,30.41,0,0,0,45,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 0:55,46.4,76,39,44,42.9,46,30.41,0,2,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 1:00,47.1,83,42,45,45.3,47,30.41,0,0,0,338,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 1:05,46.7,81,41,45,44.7,47,30.41,0,0,0,225,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 1:10,46.7,80,41,45,44.6,47,30.41,0,0,1,203,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 1:15,46.5,80,41,45,44.4,47,30.41,0,0,0,180,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 1:20,46.5,76,39,44,44.2,47,30.41,0,0,0,45,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 1:25,46.5,75,39,44,44.1,47,30.41,0,0,0,68,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 1:30,46.5,76,39,44,44.2,47,30.41,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 1:35,46.4,75,39,44,44,46,30.41,0,0,0,45,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 1:40,46.7,75,39,45,44.3,47,30.41,0,0,0,338,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 1:45,47.1,73,39,45,44.7,47,30.41,0,0,0,338,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 1:50,46.9,73,39,45,44.4,47,30.41,,0,0,,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 1:55,46.7,73,39,45,44.2,47,30.41,0,0,0,158,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 2:00,46.5,73,38,44,44,47,30.41,0,0,0,68,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 2:05,47.1,74,39,45,44.7,47,30.41,0,1,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 2:10,47.3,75,40,45,45,47,30.41,0,0,0,0,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 2:15,47.5,75,40,45,45.3,48,30.41,0,0,0,158,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 2:20,47.3,75,40,45,45,47,30.41,0,0,0,23,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 2:25,47.1,76,40,45,44.9,47,30.42,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 2:30,47.1,76,40,45,44.3,47,30.42,0,1,0,23,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 2:35,,,,,,,30.42,0,0,0,180,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 2:40,46.9,78,40,45,44.8,47,30.42,0,0,0,135,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 2:45,46.9,78,40,45,44.8,47,30.42,0,0,0,68,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 2:50,46.9,79,41,45,44.8,47,30.41,0,0,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 2:55,46.9,79,41,45,44.8,47,30.41,0,0,0,23,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 3:00,46.7,79,41,45,44.6,47,30.41,0,0,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 3:05,46.7,80,41,45,44.6,47,30.42,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 3:10,46.4,81,41,45,44.4,46,30.42,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 3:15,46.1,81,41,44,43.4,46,30.42,0,1,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 3:20,45.9,83,41,44,42.8,46,30.42,0,2,0,180,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 3:25,46.1,83,41,44,44.1,46,30.41,0,0,0,68,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 3:30,46.1,83,41,44,44.1,46,30.41,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 3:35,45.7,85,41,44,43.8,46,30.42,0,0,0,23,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 3:40,45.7,85,41,44,43.8,46,30.42,0,0,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 3:45,45,86,41,43,43,45,30.43,0,0,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 3:50,45,86,41,43,43,45,30.43,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 3:55,45,88,42,43,43.1,45,30.42,0,0,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 4:00,45,88,42,43,43.1,45,30.43,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 4:05,44.6,88,41,43,42.6,45,30.43,0,0,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 4:10,44.4,88,41,43,42.4,44,30.43,0,0,0,68,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 4:15,44.2,88,41,42,42.2,44,30.43,0,0,0,90,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 4:20,44,88,41,42,41.9,44,30.43,0,0,0,23,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 4:25,43.6,90,41,42,41.5,44,30.43,0,0,0,0,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 4:30,43.4,90,41,42,41.3,43,30.43,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 4:35,43,90,40,41,40.8,43,30.43,0,0,0,0,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 4:40,42.3,91,40,41,40,42,30.44,0,0,0,113,,,,
5-in-1 Weather Station,5-in-1 Weather Station,4/18/17 4:45,42.1,93,40,40,39.8,42,30.43,0,0,0,68,,,,
